GSWA TSG Summary Mineral Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,ABDP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_generated,16-02-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR_algorithm,TSA+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIR_algorithm,jCLST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin_min_threshold,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalar_min_depth,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,Automated spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,Geologist refined spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-AlOH,"Various Al-OH bearing phases e.g. diaspore (SWIR-only), gibbsite (SWIR-only), prehnite, pyrophyllite, axinite (TIR-only) and topaz (TIR-only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-MgOH,Various Mg-OH bearing phases e.g. brucite (SWIR-only) and talc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc-Silicate,"Various silicate phases e.g. zircon, cordierite, vesuvianite, staurolite, andalusite, kyanite and sillimanite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid,"Unclassified e.g. aspectral, noisy, low albedo, high errors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****D,"Background normalised depth of dominant spectral feature centred around wavelength **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****W,"Wavelength of dominant spectral feature centred around **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A.,Not detected or below threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
2.0,3.0,N.A.,0.7892889,0.0080876,N.A.,0.1183029,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0843205,N.A.,N.A.,0.260068,0.0281293,900.88232,0.0678743,0.2268435,2198.2668,0.0144528,2256.1408,N.A.,0.7535193,0.0142399,0.0515284,N.A.,N.A.,N.A.,N.A.,N.A.,0.1118365,N.A.,N.A.,0.00072,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0681556,N.A.,N.A.,N.A.,N.A.,0.2089514,0.0044866,11424.891
3.0,4.0,N.A.,0.7849554,N.A.,N.A.,0.1235672,N.A.,N.A.,N.A.,N.A.,N.A.,0.0018034,0.0896738,N.A.,N.A.,0.2422246,0.0268331,904.30401,0.0795146,0.2215054,2198.5102,0.0151888,2255.8181,N.A.,0.7275965,0.0130561,0.086536,N.A.,N.A.,N.A.,N.A.,N.A.,0.062849,0.0075767,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1023853,N.A.,N.A.,N.A.,N.A.,0.2077792,0.0065197,11430.019
4.0,5.0,N.A.,0.7520895,N.A.,N.A.,0.2286283,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0192821,N.A.,N.A.,0.273875,0.0260915,901.86865,0.0633236,0.2413348,2197.9079,0.0175317,2255.8879,N.A.,0.8117054,0.016269,0.0978375,N.A.,N.A.,N.A.,N.A.,N.A.,0.0683672,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0058208,N.A.,N.A.,N.A.,N.A.,0.2267488,0.0029425,11430.991
5.0,6.0,N.A.,0.7074995,N.A.,N.A.,0.2925004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2496262,0.0262377,899.29724,0.0635092,0.2336208,2197.8828,0.0194852,2255.5752,N.A.,0.7978534,0.0055895,0.1255414,N.A.,N.A.,N.A.,N.A.,N.A.,0.0691049,N.A.,N.A.,0.0019106,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2271985,0.0021271,11455.886
6.0,7.0,N.A.,0.5872321,N.A.,N.A.,0.4026325,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0101352,N.A.,N.A.,0.2247227,0.0321563,898.04443,0.0597898,0.2159621,2197.6286,0.0281251,2256.0927,N.A.,0.8295908,0.0097153,0.1142487,N.A.,N.A.,N.A.,N.A.,N.A.,0.0386678,N.A.,N.A.,0.0061327,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0016445,N.A.,N.A.,N.A.,N.A.,0.2276868,0.0030962,11389.524
7.0,8.0,N.A.,0.6423007,0.0022645,N.A.,0.3500289,N.A.,N.A.,N.A.,N.A.,N.A.,0.0034021,0.0020035,N.A.,N.A.,0.2289449,0.0336105,898.61279,0.0616042,0.2237292,2197.6106,0.0246095,2255.8818,N.A.,0.8203092,0.0026399,0.0879673,N.A.,N.A.,N.A.,N.A.,N.A.,0.0791767,0.0024704,N.A.,0.0074361,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2263062,0.0022521,11431.24
8.0,9.0,N.A.,0.7227666,N.A.,N.A.,0.2749467,N.A.,N.A.,N.A.,N.A.,N.A.,0.0022866,N.A.,N.A.,N.A.,0.208678,0.0336331,899.40789,0.0647772,0.2422011,2197.4819,0.021318,2256.4453,N.A.,0.7572201,0.0106689,0.1003503,N.A.,N.A.,N.A.,N.A.,N.A.,0.1267596,N.A.,N.A.,0.0050009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.221538,0.0018341,11488.085
9.0,10.0,N.A.,0.7516169,N.A.,N.A.,0.248383,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2695614,0.0279337,898.29498,0.0655468,0.2355835,2197.3718,0.0190719,2256.8071,N.A.,0.8172749,0.0159143,0.0315914,N.A.,N.A.,N.A.,N.A.,N.A.,0.1288408,N.A.,N.A.,0.0063783,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.22568,0.0017123,11558.561
10.0,11.0,N.A.,0.9451718,N.A.,N.A.,0.044341,N.A.,N.A.,N.A.,N.A.,N.A.,0.0025934,0.0078936,N.A.,N.A.,0.2894654,0.031057,906.87915,0.0698575,0.2568666,2197.2507,0.0115144,2256.9641,N.A.,0.6198959,N.A.,0.0199524,N.A.,N.A.,N.A.,N.A.,N.A.,0.3385951,0.0175474,N.A.,0.0017645,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0022444,N.A.,N.A.,N.A.,N.A.,0.1595427,0.0013643,11615.966
11.0,12.0,N.A.,0.8154845,N.A.,N.A.,0.1422145,N.A.,N.A.,N.A.,N.A.,N.A.,0.0061047,0.006121,N.A.,0.0300751,0.315621,0.0269838,909.32812,0.0518382,0.1862242,2197.3183,0.0129585,2255.7705,N.A.,0.7670036,0.0084122,0.0149692,N.A.,N.A.,N.A.,N.A.,N.A.,0.1908375,0.0111442,N.A.,0.0056931,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0008166,0.0011232,N.A.,N.A.,N.A.,0.1865111,0.0019057,11557.683
12.0,13.0,N.A.,0.8369751,N.A.,N.A.,0.1601626,N.A.,N.A.,N.A.,N.A.,N.A.,0.0015019,0.0013603,N.A.,N.A.,0.3070106,0.0292494,907.09344,0.0512804,0.1940587,2197.3869,0.0144185,2256.4455,N.A.,0.8569256,0.0140958,0.0318601,N.A.,N.A.,N.A.,N.A.,N.A.,0.0798491,0.0143511,N.A.,0.002918,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2224828,0.0017972,11582.418
13.0,14.0,N.A.,0.8435212,N.A.,0.0020045,0.1417961,0.0055222,N.A.,N.A.,N.A.,N.A.,0.004487,0.0026687,N.A.,N.A.,0.1458148,0.0260229,908.85546,0.0428978,0.1789494,2197.2919,0.0163145,2256.2439,N.A.,0.8263749,0.0071167,0.0814334,N.A.,N.A.,N.A.,N.A.,N.A.,0.0831045,N.A.,N.A.,0.0011737,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0007965,N.A.,N.A.,N.A.,N.A.,0.2230653,0.001493,11486.62
14.0,15.0,N.A.,0.8285026,N.A.,N.A.,0.1416581,N.A.,N.A.,N.A.,N.A.,0.0017552,0.017431,0.00703,0.0036229,N.A.,0.1199816,N.A.,N.A.,0.0407717,0.1791778,2197.4631,0.0181107,2256.7778,N.A.,0.8003161,0.0083548,0.1111457,N.A.,N.A.,N.A.,N.A.,N.A.,0.0784949,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0016883,N.A.,N.A.,N.A.,N.A.,0.2241371,0.0018789,11380.902
15.0,16.0,N.A.,0.826894,N.A.,0.0067238,0.1296476,0.0042234,N.A.,N.A.,N.A.,0.001553,0.0211796,0.0062694,0.0035089,N.A.,0.1013192,0.0308305,890.08618,0.0426307,0.1893688,2197.6303,0.0214457,2257.0022,N.A.,0.7952468,0.0082332,0.1231742,N.A.,N.A.,N.A.,N.A.,N.A.,0.0706341,N.A.,N.A.,0.0004508,0.0001687,N.A.,N.A.,N.A.,N.A.,N.A.,0.0020919,N.A.,N.A.,N.A.,N.A.,0.2275001,0.0016418,11400.821
16.0,17.0,N.A.,0.7758558,0.0040617,N.A.,0.0962962,0.0095927,0.002388,N.A.,N.A.,0.0087919,0.0356559,0.0493393,N.A.,0.018018,0.0903889,0.0465707,902.66534,0.0375496,0.156606,2197.7573,0.0215987,2255.9648,N.A.,0.7763586,0.0126364,0.0875775,N.A.,N.A.,N.A.,N.A.,N.A.,0.076089,N.A.,N.A.,0.0003041,0.0013623,N.A.,N.A.,N.A.,N.A.,N.A.,0.0451178,0.0005539,N.A.,N.A.,N.A.,0.217767,0.009334,11377.716
17.0,18.0,N.A.,0.640768,N.A.,N.A.,0.2683911,0.0060688,0.001978,0.0027176,N.A.,0.0095276,0.0372129,N.A.,0.0017565,0.0315789,0.09006,N.A.,N.A.,0.0342185,0.1426182,2198.0127,0.0313772,2257.3894,N.A.,0.8175971,0.0104813,0.1211865,N.A.,N.A.,N.A.,N.A.,N.A.,0.0507349,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2269141,0.0017745,11380.094
18.0,19.0,N.A.,0.5957877,N.A.,N.A.,0.3392891,0.0091449,N.A.,N.A.,N.A.,0.0116703,0.0116252,0.0095576,0.0036941,0.0192307,0.106633,0.0140177,N.A.,0.0303804,0.1205269,2197.4252,0.0296541,2257.0981,N.A.,0.8060162,0.0017579,0.1535798,N.A.,N.A.,N.A.,N.A.,N.A.,0.0338294,N.A.,N.A.,0.0037144,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.001102,N.A.,N.A.,N.A.,N.A.,0.2343924,0.0020559,11378.378
19.0,20.0,N.A.,0.7095823,N.A.,0.0016713,0.2480135,0.0066534,0.0014564,N.A.,N.A.,0.0041537,0.0164016,0.0064249,0.0040907,0.0015516,0.1220122,0.0891201,903.4104,0.0295187,0.1262172,2197.1425,0.0199655,2257.083,N.A.,0.7955544,0.0012307,0.138135,N.A.,N.A.,N.A.,N.A.,N.A.,0.0578416,N.A.,N.A.,0.0011807,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.005687,0.0003703,N.A.,N.A.,N.A.,0.2383199,0.0018124,11403.614
