GSWA TSG Summary Mineral Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,ABDP5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_generated,16-02-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR_algorithm,TSA+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIR_algorithm,jCLST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin_min_threshold,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalar_min_depth,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,Automated spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,Geologist refined spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-AlOH,"Various Al-OH bearing phases e.g. diaspore (SWIR-only), gibbsite (SWIR-only), prehnite, pyrophyllite, axinite (TIR-only) and topaz (TIR-only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-MgOH,Various Mg-OH bearing phases e.g. brucite (SWIR-only) and talc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc-Silicate,"Various silicate phases e.g. zircon, cordierite, vesuvianite, staurolite, andalusite, kyanite and sillimanite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid,"Unclassified e.g. aspectral, noisy, low albedo, high errors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****D,"Background normalised depth of dominant spectral feature centred around wavelength **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****W,"Wavelength of dominant spectral feature centred around **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A.,Not detected or below threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
0.0,1.0,0.0092035,0.8892825,0.0069305,N.A.,0.0130089,0.0092565,N.A.,0.0044158,N.A.,0.0081107,0.0148497,0.0148592,0.0047658,0.0253164,0.160702,0.0956874,899.87872,0.0191389,0.0838429,2194.1933,0.0092961,2258.0378,N.A.,0.581075,0.1043548,N.A.,N.A.,N.A.,N.A.,N.A.,0.0101375,0.266925,0.0061383,N.A.,N.A.,N.A.,0.0049817,N.A.,N.A.,N.A.,N.A.,0.013646,0.0127413,N.A.,N.A.,N.A.,0.201644,0.0022951,11536.162
1.0,2.0,0.017901,0.7385802,N.A.,0.0017186,0.0239216,0.0107786,N.A.,N.A.,N.A.,0.0084245,0.0110021,0.027072,0.0039516,0.1566492,0.1393219,0.0884292,902.20593,0.0161089,0.0707595,2194.0295,0.0114629,2255.364,N.A.,0.6188222,0.0410851,N.A.,N.A.,0.0011145,N.A.,N.A.,0.0031409,0.2554838,0.0011957,N.A.,0.0006339,N.A.,0.0067153,N.A.,N.A.,0.0218258,N.A.,0.02211,0.0278725,N.A.,N.A.,N.A.,0.2316493,0.0034927,11478.5
2.0,3.0,N.A.,0.8077024,N.A.,0.0015537,0.0295813,0.0080974,N.A.,0.0035057,N.A.,0.0062401,0.0232339,0.0559241,0.0067649,0.0573959,0.1443164,0.0808196,899.41674,0.0133717,0.0730311,2194.3684,0.0122628,2256.2634,N.A.,0.6252858,0.0081016,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2410076,N.A.,N.A.,0.0013497,N.A.,N.A.,N.A.,N.A.,0.0005299,N.A.,0.0760058,0.0477193,N.A.,N.A.,N.A.,0.2395587,0.0017916,11577.559
3.0,4.0,N.A.,0.7721276,N.A.,0.0014648,0.0171953,0.0035512,N.A.,N.A.,N.A.,N.A.,0.0134968,0.0962219,0.005033,0.090909,0.1614407,0.064683,904.50927,0.0154507,0.0781936,2193.6203,0.0101608,2255.2619,N.A.,0.598422,0.012231,0.0082936,N.A.,N.A.,N.A.,N.A.,N.A.,0.2078146,N.A.,N.A.,0.0011547,0.0016515,N.A.,N.A.,N.A.,N.A.,N.A.,0.1447855,0.0248342,N.A.,0.0008126,N.A.,0.187092,0.001736,11599.756
4.0,5.0,N.A.,0.8311018,N.A.,N.A.,0.0400663,0.0036343,N.A.,0.0022398,N.A.,0.0012885,0.0211186,0.0318603,N.A.,0.0686899,0.1320512,0.0863534,903.50396,0.0150108,0.095055,2194.163,0.0129797,2256.4934,N.A.,0.6422468,0.0009857,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.25605,0.0076898,N.A.,0.0078375,N.A.,N.A.,N.A.,N.A.,0.0010069,N.A.,0.0546755,0.0276912,N.A.,0.0018162,N.A.,0.2241031,0.0013462,11591.822
5.0,6.0,N.A.,0.725456,N.A.,N.A.,0.0362423,0.0028998,N.A.,N.A.,N.A.,0.0026884,0.0284565,0.1352211,N.A.,0.0690356,0.1767845,0.0769706,902.27069,0.0174406,0.0888007,2193.8747,0.0126727,2256.7116,N.A.,0.5578661,0.0084546,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1822658,N.A.,N.A.,0.0044241,0.0012054,0.0035922,N.A.,N.A.,0.0045281,N.A.,0.221034,0.0151373,N.A.,0.001492,N.A.,0.1690623,0.001892,11589.895
6.0,7.0,N.A.,0.7610185,N.A.,0.0021202,0.0576585,N.A.,N.A.,N.A.,N.A.,N.A.,0.0317235,0.0775503,0.0054125,0.0645161,0.1774457,0.0781929,905.45825,0.0144682,0.0849455,2193.6052,0.0127925,2254.6381,N.A.,0.651235,0.0193633,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1553988,N.A.,N.A.,0.0063609,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1533827,0.0142589,N.A.,N.A.,N.A.,0.175381,0.0016964,11596.661
7.0,8.0,N.A.,0.7913746,0.0021267,N.A.,0.0706711,N.A.,N.A.,N.A.,N.A.,N.A.,0.0121388,0.0835938,N.A.,0.0400946,0.1599546,0.0850428,902.04895,0.0158448,0.0842608,2193.5446,0.0155048,2255.6723,N.A.,0.619059,0.0041831,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2237803,0.0010615,N.A.,0.0033478,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1281395,0.0204284,N.A.,N.A.,N.A.,0.1971548,0.0034527,11525.678
8.0,9.0,N.A.,0.7701119,0.001872,0.0009549,0.1121516,0.0087366,N.A.,N.A.,N.A.,0.0030811,0.0119805,0.0639173,0.0055964,0.021597199999999997,0.1609794,0.0749968,904.07562,0.0137664,0.0766662,2193.7766,0.0182578,2257.3557,N.A.,0.6432772,0.0028505,N.A.,N.A.,0.0011694,N.A.,N.A.,N.A.,0.2002773,0.0039238,N.A.,0.0215118,3.5e-05,N.A.,N.A.,N.A.,N.A.,N.A.,0.1181692,0.0087859,N.A.,N.A.,N.A.,0.1948917,0.0016173,11582.148
9.0,10.0,N.A.,0.6923446,N.A.,N.A.,0.0776935,0.0158365,N.A.,N.A.,N.A.,N.A.,0.0067175,0.1181937,N.A.,0.0892139,0.1787325,0.0618932,910.94592,0.0146298,0.0807733,2193.7575,0.0131092,2255.1611,N.A.,0.5715696,0.0015119,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2136112,N.A.,N.A.,0.0022237,0.0024076,0.0072746,N.A.,N.A.,0.0070208,N.A.,0.1799536,0.0121268,N.A.,0.0022997,N.A.,0.1870407,0.002088,11563.887
10.0,11.0,N.A.,0.6069376,N.A.,N.A.,0.229848,0.0107171,N.A.,N.A.,N.A.,0.0039056,N.A.,0.0919878,N.A.,0.0566037,0.167722,0.0744936,900.34381,0.015603,0.075732,2193.3474,0.0263784,2256.7707,N.A.,0.6134797,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1418684,N.A.,N.A.,0.0422832,0.0116735,0.0054063,N.A.,N.A.,N.A.,N.A.,0.1518418,0.0216392,N.A.,0.0118073,N.A.,0.1506056,0.0020836,11584.78
