GSWA TSG Summary Mineral Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,DD93CG05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_generated,16-02-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR_algorithm,TSA+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIR_algorithm,jCLST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin_min_threshold,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalar_min_depth,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,Automated spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,Geologist refined spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-AlOH,"Various Al-OH bearing phases e.g. diaspore (SWIR-only), gibbsite (SWIR-only), prehnite, pyrophyllite, axinite (TIR-only) and topaz (TIR-only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-MgOH,Various Mg-OH bearing phases e.g. brucite (SWIR-only) and talc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc-Silicate,"Various silicate phases e.g. zircon, cordierite, vesuvianite, staurolite, andalusite, kyanite and sillimanite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid,"Unclassified e.g. aspectral, noisy, low albedo, high errors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****D,"Background normalised depth of dominant spectral feature centred around wavelength **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****W,"Wavelength of dominant spectral feature centred around **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A.,Not detected or below threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
18.0,19.0,N.A.,0.5525363,N.A.,N.A.,0.4474636,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2489435,0.0400154,898.42285,0.0102635,0.3309595,2200.5461,0.0487887,2256.2827,N.A.,0.4718199,0.0062307,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.4092593,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1126899,N.A.,N.A.,N.A.,N.A.,0.1781158,0.0028964,11411.967
19.0,20.0,N.A.,0.5006532,N.A.,N.A.,0.4827188,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0166278,N.A.,N.A.,0.23479,0.0409229,900.12957,0.0072044,0.2742232,2200.5222,0.0612907,2255.5974,N.A.,0.5077606,0.006502,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.3156105,N.A.,N.A.,0.0061902,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1639365,N.A.,N.A.,N.A.,N.A.,0.1780542,0.007137,11381.981
20.0,21.0,N.A.,0.4780638,N.A.,N.A.,0.5008904,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0210456,N.A.,N.A.,0.2376049,0.0398005,900.31256,0.0065657,0.2638784,2200.5485,0.0662933,2255.3818,N.A.,0.4839808,0.0035779,0.0029943,N.A.,N.A.,N.A.,N.A.,N.A.,0.3233319,N.A.,N.A.,0.006581,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1795339,N.A.,N.A.,N.A.,N.A.,0.1766581,0.0087731,11352.636
21.0,22.0,N.A.,0.4084211,N.A.,N.A.,0.5073951,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0487854,N.A.,0.0353982,0.2341086,0.0387207,906.30407,0.0078786,0.2266159,2200.1533,0.0638646,2255.3501,N.A.,0.5093464,0.0033286,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.246837,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2381162,0.0023716,N.A.,N.A.,N.A.,0.1710476,0.0142805,11352.218
22.0,23.0,N.A.,0.535609,N.A.,N.A.,0.3580549,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1063359,N.A.,N.A.,0.2437607,0.0350429,913.32354,0.0147673,0.2592757,2200.1787,0.0387773,2255.5502,N.A.,0.2146236,0.0007188,0.0132778,N.A.,N.A.,N.A.,N.A.,N.A.,0.424912,N.A.,N.A.,0.0082955,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.3381721,N.A.,N.A.,N.A.,N.A.,0.1147631,0.0210809,11329.127
23.0,24.0,N.A.,0.4688636,N.A.,N.A.,0.5101066,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0210297,N.A.,N.A.,0.2316057,0.0396258,903.36547,0.0096642,0.27009,2200.4672,0.0665192,2255.5,N.A.,0.4522382,N.A.,0.003337,N.A.,N.A.,N.A.,N.A.,N.A.,0.3460395,N.A.,N.A.,0.0047951,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.192944,N.A.,N.A.,0.0006459,N.A.,0.1632889,0.0103944,11339.059
24.0,25.0,N.A.,0.4962172,N.A.,N.A.,0.5007841,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0029986,N.A.,N.A.,0.2240368,0.0407334,900.44488,0.007915,0.2770811,2200.5539,0.0648376,2255.5825,N.A.,0.4673122,N.A.,0.0022568,N.A.,N.A.,N.A.,N.A.,N.A.,0.3770573,N.A.,N.A.,0.0038018,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1486367,0.0009349,N.A.,N.A.,N.A.,0.1726667,0.0063528,11363.951
25.0,26.0,N.A.,0.5305477,N.A.,N.A.,0.4631373,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0063149,N.A.,N.A.,0.246441,0.0381938,899.84527,0.0077886,0.2904228,2200.7487,0.0541463,2255.7343,N.A.,0.5296636,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.3203724,N.A.,N.A.,0.0010131,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1489507,N.A.,N.A.,N.A.,N.A.,0.1737766,0.0076412,11357.369
