GSWA TSG Summary Mineral Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,PDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_generated,16-02-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR_algorithm,TSA+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIR_algorithm,jCLST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin_min_threshold,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalar_min_depth,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,Automated spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,Geologist refined spectral unmixing result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-AlOH,"Various Al-OH bearing phases e.g. diaspore (SWIR-only), gibbsite (SWIR-only), prehnite, pyrophyllite, axinite (TIR-only) and topaz (TIR-only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other-MgOH,Various Mg-OH bearing phases e.g. brucite (SWIR-only) and talc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc-Silicate,"Various silicate phases e.g. zircon, cordierite, vesuvianite, staurolite, andalusite, kyanite and sillimanite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid,"Unclassified e.g. aspectral, noisy, low albedo, high errors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****D,"Background normalised depth of dominant spectral feature centred around wavelength **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
****W,"Wavelength of dominant spectral feature centred around **** (nm), labelled by typical feature assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A.,Not detected or below threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
0.0,1.0,0.0240922,N.A.,0.2102872,0.0080661,0.4777178,N.A.,N.A.,N.A.,N.A.,N.A.,0.0251128,0.2334469,N.A.,0.0212765,0.1714451,0.0455658,916.06274,0.0766108,0.0218587,2202.3239,0.0217824,2248.0214,N.A.,0.2271559,0.001723,0.4643266,N.A.,N.A.,N.A.,N.A.,0.0263014,N.A.,0.0910564,N.A.,0.1581894,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0312468,N.A.,N.A.,N.A.,N.A.,0.099759,0.0037636,11462.248
1.0,2.0,N.A.,N.A.,0.2348702,N.A.,0.3172608,0.0050828,N.A.,N.A.,N.A.,0.0023702,0.0033708,0.1411266,N.A.,0.2959183,0.1632986,0.0442553,918.60461,0.1192069,0.014022,2208.2041,0.0199285,2249.3127,N.A.,0.1782946,N.A.,0.4602773,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0697264,N.A.,0.1728167,0.0027017,N.A.,N.A.,N.A.,N.A.,N.A.,0.116183,N.A.,N.A.,N.A.,N.A.,0.0687449,0.0015257,11508.757
2.0,3.0,0.0011571,N.A.,0.3196874,N.A.,0.4454549,N.A.,0.0017743,0.0032686,N.A.,0.0023606,0.0023073,0.1801938,N.A.,0.0437956,0.1537036,0.0456971,925.27008,0.1029023,0.0116501,2204.7036,0.0237473,2248.1608,N.A.,0.0948254,N.A.,0.4716923,N.A.,0.0007495,0.0007167,N.A.,0.0009529,N.A.,0.0946594,N.A.,0.2216129,N.A.,N.A.,0.0008955,N.A.,N.A.,N.A.,0.1138952,N.A.,N.A.,N.A.,N.A.,0.054257,0.0059612,11382.908
